dataset,bits,M,target_metric,target_value,scorer,chosen_efSearch,storage_mode,mean_search_ms,mean_rerank_ms,mean_total_ms,p50_total_ms,p95_total_ms,achieved_metric,Recall@100,top10_overlap,top100_overlap,mean_visited_nodes,mean_num_reranked,num_points
fiqa,128,32,Recall@100,0.8,qacos_gated,700,cache_limited,0.6679058791666667,0.3294222041666667,0.9973280833333333,0.964438,1.3340990999999993,0.823625,0.823625,3.9375,41.875,9845.9875,700.0,240
fiqa,128,32,Recall@100,0.8,qacos_gated,700,warm_cache,0.6485619583333334,0.24662359999999997,0.8951855583333334,0.8700415,1.1857166499999998,0.823625,0.823625,3.9375,41.875,9845.9875,700.0,240
fiqa,128,32,Recall@100,0.8,simhash,1300,cache_limited,0.7043321041666666,0.47099635416666674,1.1753284583333334,1.1438755,1.4239002999999997,0.8,0.8,2.9125,31.6375,17633.9625,1300.0,240
fiqa,128,32,Recall@100,0.8,simhash,1300,warm_cache,0.6589420625,0.40018486666666664,1.0591269291666665,1.044333,1.2294579999999997,0.8,0.8,2.9125,31.6375,17633.9625,1300.0,240
fiqa,128,32,Recall@100,0.9,qacos_gated,1500,cache_limited,1.1304986333333331,0.5522755208333333,1.6827741541666668,1.6360005,2.0614978999999996,0.906125,0.906125,3.9375,41.6875,17487.95,1500.0,240
fiqa,128,32,Recall@100,0.9,qacos_gated,1500,warm_cache,1.3627435791666664,0.45940675833333333,1.8221503374999999,1.5796665,2.976846499999998,0.906125,0.906125,3.9375,41.6875,17487.95,1500.0,240
