dataset,graph_M,method,scorer_type,sketch_bits,visited_budget,ef_search,mean_true_cos_coarse_top10,mean_true_cos_coarse_top100,pool_min_reranked_for_recall10_p0.8,pool_min_reranked_for_recall100_p0.8,pool_min_reranked_for_recall10_p0.9,pool_min_reranked_for_recall100_p0.9,pool_recall10_at_prefix_10,pool_recall100_at_prefix_10,pool_recall10_at_prefix_20,pool_recall100_at_prefix_20,pool_recall10_at_prefix_50,pool_recall100_at_prefix_50,pool_recall10_at_prefix_100,pool_recall100_at_prefix_100,pool_recall10_at_prefix_150,pool_recall100_at_prefix_150,pool_recall10_at_prefix_200,pool_recall100_at_prefix_200,pool_recall10_at_prefix_300,pool_recall100_at_prefix_300,pool_recall10_at_prefix_500,pool_recall100_at_prefix_500,mean_recall_at_10,mean_recall_at_100,mean_visited_nodes,mean_upper_hops,mean_lower_pops,mean_lower_pushes,mean_num_reranked_candidates,mean_overlap_top10,mean_overlap_top100,mean_num_coarse_candidates,mean_visited_candidate_pool_size,mean_visited_candidate_pool_size_raw
arguana,32,simhash,simhash_baseline,128,-1,20,0.677285461500287,0.46520949751138685,26.2625,291.425,38.0375,364.075,0.5999999999999999,0.09312499999999989,0.7824999999999999,0.17287499999999992,0.9299999999999999,0.34337499999999993,0.9775,0.5118750000000001,0.9824999999999999,0.625875,0.9899999999999999,0.7003749999999997,0.9949999999999999,0.7978750000000001,0.9962500000000001,0.8907499999999999,0.975,0.5066250000000001,1089.4,5.475,111.8625,250.45,100.0,5.825,50.6625,100.0,1089.4,1089.4
arguana,32,simhash,simhash_baseline,128,-1,50,0.677285461500287,0.46520949751138685,26.2625,291.425,38.0375,364.075,0.5999999999999999,0.09312499999999989,0.7824999999999999,0.17287499999999992,0.9299999999999999,0.34337499999999993,0.9775,0.5118750000000001,0.9824999999999999,0.625875,0.9899999999999999,0.7003749999999997,0.9949999999999999,0.7978750000000001,0.9962500000000001,0.8907499999999999,0.975,0.5066250000000001,1089.4,5.475,111.8625,250.45,100.0,5.825,50.6625,100.0,1089.4,1089.4
nfcorpus,16,qacos,qacos,64,-1,20,0.32825306211598215,0.26170331119792534,168.7,290.775,194.5625,117.775,0.1987499999999999,0.045874999999999985,0.27749999999999997,0.08474999999999995,0.4125000000000002,0.17012499999999992,0.5399999999999998,0.272625,0.6225,0.3530000000000001,0.6725000000000001,0.4121249999999999,0.74875,0.5137500000000002,0.8149999999999998,0.6397499999999999,0.5399999999999998,0.272625,1018.5375,5.0125,102.5125,283.6375,100.0,1.9875,27.2625,100.0,1018.5375,1018.5375
nfcorpus,16,qacos,qacos,64,-1,50,0.32825306211598215,0.26170331119792534,168.7,290.775,194.5625,117.775,0.1987499999999999,0.045874999999999985,0.27749999999999997,0.08474999999999995,0.4125000000000002,0.17012499999999992,0.5399999999999998,0.272625,0.6225,0.3530000000000001,0.6725000000000001,0.4121249999999999,0.74875,0.5137500000000002,0.8149999999999998,0.6397499999999999,0.5399999999999998,0.272625,1018.5375,5.0125,102.5125,283.6375,100.0,1.9875,27.2625,100.0,1018.5375,1018.5375
nfcorpus,16,qacos,qacos,128,-1,20,0.38827671818435194,0.2996017005527392,99.4,272.8625,105.525,208.3875,0.3450000000000001,0.07087499999999997,0.4762500000000001,0.12724999999999997,0.6237499999999997,0.25112499999999993,0.7424999999999999,0.39862499999999995,0.80625,0.49449999999999983,0.83625,0.5672499999999998,0.8824999999999997,0.6703750000000003,0.915,0.7720000000000002,0.7424999999999999,0.39862499999999995,976.4,5.2875,102.2,269.0625,100.0,3.45,39.8625,100.0,976.4,976.4
nfcorpus,16,qacos,qacos,128,-1,50,0.38827671818435194,0.2996017005527392,99.4,272.8625,105.525,208.3875,0.3450000000000001,0.07087499999999997,0.4762500000000001,0.12724999999999997,0.6237499999999997,0.25112499999999993,0.7424999999999999,0.39862499999999995,0.80625,0.49449999999999983,0.83625,0.5672499999999998,0.8824999999999997,0.6703750000000003,0.915,0.7720000000000002,0.7424999999999999,0.39862499999999995,976.4,5.2875,102.2,269.0625,100.0,3.45,39.8625,100.0,976.4,976.4
nfcorpus,16,simhash,simhash_baseline,64,-1,20,0.29094154555350543,0.2397907456732355,238.75,225.3875,203.9375,162.4,0.1312499999999999,0.03837499999999999,0.1887499999999999,0.06462499999999997,0.3174999999999999,0.12799999999999997,0.42874999999999996,0.213125,0.5087500000000003,0.280125,0.5675000000000002,0.3304999999999999,0.6425000000000002,0.424125,0.735,0.5508750000000002,0.4225,0.20725000000000007,1121.325,4.675,114.95,272.8125,100.0,1.2125,20.725,100.0,1121.325,1121.325
nfcorpus,16,simhash,simhash_baseline,64,-1,50,0.29094154555350543,0.2397907456732355,238.75,225.3875,203.9375,162.4,0.1312499999999999,0.03837499999999999,0.1887499999999999,0.06462499999999997,0.3174999999999999,0.12799999999999997,0.42874999999999996,0.213125,0.5087500000000003,0.280125,0.5675000000000002,0.3304999999999999,0.6425000000000002,0.424125,0.735,0.5508750000000002,0.4225,0.20725000000000007,1121.325,4.675,114.95,272.8125,100.0,1.2125,20.725,100.0,1121.325,1121.325
nfcorpus,16,simhash,simhash_baseline,128,-1,20,0.3622329769190401,0.2830786745529622,147.8375,321.125,173.15,266.325,0.2774999999999999,0.06174999999999997,0.3949999999999999,0.10812499999999999,0.5362500000000001,0.2096249999999999,0.6549999999999997,0.33225,0.7387499999999999,0.42687500000000006,0.7799999999999999,0.49149999999999994,0.8299999999999998,0.5876250000000003,0.8949999999999999,0.7092500000000003,0.6549999999999998,0.3268749999999999,1047.7125,4.8375,111.8875,262.65,100.0,2.725,32.6875,100.0,1047.7125,1047.7125
nfcorpus,16,simhash,simhash_baseline,128,-1,50,0.3622329769190401,0.2830786745529622,147.8375,321.125,173.15,266.325,0.2774999999999999,0.06174999999999997,0.3949999999999999,0.10812499999999999,0.5362500000000001,0.2096249999999999,0.6549999999999997,0.33225,0.7387499999999999,0.42687500000000006,0.7799999999999999,0.49149999999999994,0.8299999999999998,0.5876250000000003,0.8949999999999999,0.7092500000000003,0.6549999999999998,0.3268749999999999,1047.7125,4.8375,111.8875,262.65,100.0,2.725,32.6875,100.0,1047.7125,1047.7125
nfcorpus,32,qacos,qacos,64,-1,20,0.32854920683894306,0.2615526551846415,191.3625,345.6625,228.6125,197.125,0.1974999999999999,0.04587499999999998,0.27874999999999994,0.08437499999999995,0.4212500000000001,0.17049999999999996,0.5437499999999998,0.2715000000000001,0.6249999999999999,0.350875,0.6787500000000001,0.4118750000000002,0.7562499999999998,0.5113749999999999,0.825,0.638,0.5437499999999998,0.2715000000000001,1133.45,3.925,102.4875,299.0375,100.0,1.975,27.15,100.0,1133.45,1133.45
nfcorpus,32,qacos,qacos,64,-1,50,0.32854920683894306,0.2615526551846415,191.3625,345.6625,228.6125,197.125,0.1974999999999999,0.04587499999999998,0.27874999999999994,0.08437499999999995,0.4212500000000001,0.17049999999999996,0.5437499999999998,0.2715000000000001,0.6249999999999999,0.350875,0.6787500000000001,0.4118750000000002,0.7562499999999998,0.5113749999999999,0.825,0.638,0.5437499999999998,0.2715000000000001,1133.45,3.925,102.4875,299.0375,100.0,1.975,27.15,100.0,1133.45,1133.45
nfcorpus,32,qacos,qacos,128,-1,20,0.38867559912614524,0.2992061297874898,111.5875,326.275,109.075,252.3125,0.3450000000000001,0.07087499999999997,0.47375000000000017,0.12649999999999997,0.6237499999999997,0.25074999999999986,0.7437499999999999,0.39849999999999997,0.80375,0.49437500000000034,0.83375,0.565125,0.8824999999999997,0.66775,0.91625,0.77275,0.7437499999999999,0.39849999999999997,1083.5625,4.3375,102.35,280.775,100.0,3.45,39.85,100.0,1083.5625,1083.5625
nfcorpus,32,qacos,qacos,128,-1,50,0.38867559912614524,0.2992061297874898,111.5875,326.275,109.075,252.3125,0.3450000000000001,0.07087499999999997,0.47375000000000017,0.12649999999999997,0.6237499999999997,0.25074999999999986,0.7437499999999999,0.39849999999999997,0.80375,0.49437500000000034,0.83375,0.565125,0.8824999999999997,0.66775,0.91625,0.77275,0.7437499999999999,0.39849999999999997,1083.5625,4.3375,102.35,280.775,100.0,3.45,39.85,100.0,1083.5625,1083.5625
nfcorpus,32,simhash,simhash_baseline,64,-1,20,0.2879793055006303,0.23899687374942005,247.5,361.325,250.525,186.5125,0.1312499999999999,0.037124999999999984,0.19874999999999982,0.06524999999999996,0.31874999999999987,0.127375,0.4262499999999999,0.21025,0.495,0.27649999999999997,0.5587500000000002,0.329,0.6375,0.4225,0.7324999999999997,0.5479999999999998,0.4225,0.20612500000000003,1253.075,3.6125,116.4125,279.4625,100.0,1.2125,20.6125,100.0,1253.075,1253.075
nfcorpus,32,simhash,simhash_baseline,64,-1,50,0.2879793055006303,0.23899687374942005,247.5,361.325,250.525,186.5125,0.1312499999999999,0.037124999999999984,0.19874999999999982,0.06524999999999996,0.31874999999999987,0.127375,0.4262499999999999,0.21025,0.495,0.27649999999999997,0.5587500000000002,0.329,0.6375,0.4225,0.7324999999999997,0.5479999999999998,0.4225,0.20612500000000003,1253.075,3.6125,116.4125,279.4625,100.0,1.2125,20.6125,100.0,1253.075,1253.075
nfcorpus,32,simhash,simhash_baseline,128,-1,20,0.36085914527066054,0.2828880702611059,160.7,428.5625,204.8375,343.7125,0.2762499999999999,0.06087499999999998,0.3825,0.10774999999999998,0.54,0.21175000000000002,0.6575,0.33387500000000003,0.73625,0.4235000000000001,0.7799999999999999,0.4915000000000001,0.8299999999999998,0.5839999999999999,0.8974999999999997,0.7076250000000002,0.6574999999999998,0.32675,1167.2125,4.2125,112.875,268.25,100.0,2.7,32.675,100.0,1167.2125,1167.2125
nfcorpus,32,simhash,simhash_baseline,128,-1,50,0.36085914527066054,0.2828880702611059,160.7,428.5625,204.8375,343.7125,0.2762499999999999,0.06087499999999998,0.3825,0.10774999999999998,0.54,0.21175000000000002,0.6575,0.33387500000000003,0.73625,0.4235000000000001,0.7799999999999999,0.4915000000000001,0.8299999999999998,0.5839999999999999,0.8974999999999997,0.7076250000000002,0.6574999999999998,0.32675,1167.2125,4.2125,112.875,268.25,100.0,2.7,32.675,100.0,1167.2125,1167.2125
scifact,16,qacos,qacos,64,-1,20,0.4199952985625714,0.32244510356104,180.1375,467.7375,172.175,320.4375,0.27874999999999994,0.06087499999999998,0.40375000000000005,0.10800000000000001,0.5762500000000002,0.21225,0.6999999999999997,0.3330000000000001,0.7662499999999999,0.418125,0.8212499999999997,0.4951250000000001,0.8774999999999997,0.6034999999999999,0.9237499999999997,0.7377500000000002,0.6999999999999997,0.3330000000000001,1156.45,5.5875,102.225,290.55,100.0,2.7875,33.3,100.0,1156.45,1156.45
scifact,16,qacos,qacos,64,-1,50,0.4199952985625714,0.32244510356104,180.1375,467.7375,172.175,320.4375,0.27874999999999994,0.06087499999999998,0.40375000000000005,0.10800000000000001,0.5762500000000002,0.21225,0.6999999999999997,0.3330000000000001,0.7662499999999999,0.418125,0.8212499999999997,0.4951250000000001,0.8774999999999997,0.6034999999999999,0.9237499999999997,0.7377500000000002,0.6999999999999997,0.3330000000000001,1156.45,5.5875,102.225,290.55,100.0,2.7875,33.3,100.0,1156.45,1156.45
scifact,16,qacos,qacos,128,-1,20,0.47372574303299186,0.3560275591444224,72.05,373.8125,115.2625,328.4875,0.41000000000000025,0.07849999999999996,0.5525,0.141,0.70875,0.28274999999999995,0.8287500000000001,0.43800000000000017,0.8887499999999999,0.5498749999999998,0.9075,0.631,0.9362499999999999,0.7410000000000002,0.9612499999999997,0.8476249999999995,0.8287500000000001,0.43800000000000017,1073.675,5.5875,101.8375,268.4375,100.0,4.1,43.8,100.0,1073.675,1073.675
scifact,16,qacos,qacos,128,-1,50,0.47372574303299186,0.3560275591444224,72.05,373.8125,115.2625,328.4875,0.41000000000000025,0.07849999999999996,0.5525,0.141,0.70875,0.28274999999999995,0.8287500000000001,0.43800000000000017,0.8887499999999999,0.5498749999999998,0.9075,0.631,0.9362499999999999,0.7410000000000002,0.9612499999999997,0.8476249999999995,0.8287500000000001,0.43800000000000017,1073.675,5.5875,101.8375,268.4375,100.0,4.1,43.8,100.0,1073.675,1073.675
scifact,16,simhash,simhash_baseline,64,-1,20,0.3888891825918108,0.3000281351502053,236.725,527.7,303.025,387.95,0.2337499999999999,0.05462499999999998,0.31625000000000003,0.08987499999999998,0.4712499999999998,0.17437499999999997,0.5937499999999998,0.27187500000000003,0.655,0.34774999999999984,0.7174999999999998,0.41487500000000005,0.7874999999999999,0.5162499999999999,0.8549999999999999,0.6531250000000003,0.5812499999999999,0.26662499999999995,1316.075,5.325,118.2625,278.1125,100.0,2.175,26.6625,100.0,1316.075,1316.075
scifact,16,simhash,simhash_baseline,64,-1,50,0.3888891825918108,0.3000281351502053,236.725,527.7,303.025,387.95,0.2337499999999999,0.05462499999999998,0.31625000000000003,0.08987499999999998,0.4712499999999998,0.17437499999999997,0.5937499999999998,0.27187500000000003,0.655,0.34774999999999984,0.7174999999999998,0.41487500000000005,0.7874999999999999,0.5162499999999999,0.8549999999999999,0.6531250000000003,0.5812499999999999,0.26662499999999995,1316.075,5.325,118.2625,278.1125,100.0,2.175,26.6625,100.0,1316.075,1316.075
scifact,16,simhash,simhash_baseline,128,-1,20,0.4426744027994573,0.33549863649532197,151.5,408.2625,214.5875,399.2125,0.31375,0.06899999999999998,0.4374999999999999,0.12175000000000002,0.6074999999999998,0.23525000000000004,0.7262499999999998,0.367875,0.7849999999999996,0.470125,0.8237499999999999,0.5511250000000001,0.8825,0.6545,0.9387499999999998,0.778125,0.72,0.3635000000000001,1182.2875,5.4875,111.4625,267.15,100.0,3.1125,36.35,100.0,1182.2875,1182.2875
scifact,16,simhash,simhash_baseline,128,-1,50,0.4426744027994573,0.33549863649532197,151.5,408.2625,214.5875,399.2125,0.31375,0.06899999999999998,0.4374999999999999,0.12175000000000002,0.6074999999999998,0.23525000000000004,0.7262499999999998,0.367875,0.7849999999999996,0.470125,0.8237499999999999,0.5511250000000001,0.8825,0.6545,0.9387499999999998,0.778125,0.72,0.3635000000000001,1182.2875,5.4875,111.4625,267.15,100.0,3.1125,36.35,100.0,1182.2875,1182.2875
scifact,32,qacos,qacos,64,-1,20,0.42002695160917936,0.32143458606733477,177.8875,549.875,206.2375,461.9625,0.27999999999999986,0.06062499999999997,0.40375000000000005,0.10712499999999996,0.5712499999999999,0.209625,0.6974999999999998,0.3307500000000002,0.76,0.41637500000000005,0.8087499999999999,0.4903749999999999,0.8737499999999997,0.5983749999999999,0.9225,0.7341250000000001,0.6974999999999998,0.3307500000000002,1343.55,5.0375,101.7125,296.65,100.0,2.8,33.075,100.0,1343.55,1343.55
scifact,32,qacos,qacos,64,-1,50,0.42002695160917936,0.32143458606733477,177.8875,549.875,206.2375,461.9625,0.27999999999999986,0.06062499999999997,0.40375000000000005,0.10712499999999996,0.5712499999999999,0.209625,0.6974999999999998,0.3307500000000002,0.76,0.41637500000000005,0.8087499999999999,0.4903749999999999,0.8737499999999997,0.5983749999999999,0.9225,0.7341250000000001,0.6974999999999998,0.3307500000000002,1343.55,5.0375,101.7125,296.65,100.0,2.8,33.075,100.0,1343.55,1343.55
scifact,32,qacos,qacos,128,-1,20,0.4734261123463511,0.3551617354154587,81.3375,375.45,123.325,432.4875,0.41000000000000014,0.07837499999999996,0.555,0.14100000000000001,0.71,0.281875,0.8262500000000002,0.4341250000000002,0.885,0.5452499999999999,0.9099999999999999,0.6276250000000001,0.9399999999999998,0.7377499999999999,0.9649999999999999,0.8475000000000001,0.8262500000000002,0.4341250000000002,1250.15,5.2125,101.55,274.2875,100.0,4.1,43.4125,100.0,1250.15,1250.15
scifact,32,qacos,qacos,128,-1,50,0.4734261123463511,0.3551617354154587,81.3375,375.45,123.325,432.4875,0.41000000000000014,0.07837499999999996,0.555,0.14100000000000001,0.71,0.281875,0.8262500000000002,0.4341250000000002,0.885,0.5452499999999999,0.9099999999999999,0.6276250000000001,0.9399999999999998,0.7377499999999999,0.9649999999999999,0.8475000000000001,0.8262500000000002,0.4341250000000002,1250.15,5.2125,101.55,274.2875,100.0,4.1,43.4125,100.0,1250.15,1250.15
scifact,32,simhash,simhash_baseline,64,-1,20,0.3859599456191063,0.2979466044998844,265.975,600.625,315.175,510.875,0.22249999999999992,0.05199999999999999,0.30500000000000005,0.08812499999999998,0.4549999999999998,0.16937500000000003,0.5824999999999998,0.26625,0.6412500000000002,0.34199999999999975,0.70125,0.40524999999999994,0.77,0.503375,0.8362499999999997,0.638875,0.5749999999999998,0.2613750000000001,1519.35,4.9375,115.0625,284.6875,100.0,2.175,26.1375,100.0,1519.35,1519.35
scifact,32,simhash,simhash_baseline,64,-1,50,0.3859599456191063,0.2979466044998844,265.975,600.625,315.175,510.875,0.22249999999999992,0.05199999999999999,0.30500000000000005,0.08812499999999998,0.4549999999999998,0.16937500000000003,0.5824999999999998,0.26625,0.6412500000000002,0.34199999999999975,0.70125,0.40524999999999994,0.77,0.503375,0.8362499999999997,0.638875,0.5749999999999998,0.2613750000000001,1519.35,4.9375,115.0625,284.6875,100.0,2.175,26.1375,100.0,1519.35,1519.35
scifact,32,simhash,simhash_baseline,128,-1,20,0.4417909246403724,0.334134801547043,152.3875,454.4625,210.7875,475.1125,0.31499999999999995,0.06824999999999999,0.4362499999999999,0.12050000000000002,0.605,0.23500000000000004,0.7224999999999999,0.365125,0.7837499999999997,0.46437500000000015,0.8274999999999999,0.5449999999999998,0.8825,0.6487499999999999,0.9425000000000001,0.7730000000000004,0.7187499999999999,0.36050000000000015,1373.7625,4.975,110.6125,276.4625,100.0,3.0875,36.05,100.0,1373.7625,1373.7625
scifact,32,simhash,simhash_baseline,128,-1,50,0.4417909246403724,0.334134801547043,152.3875,454.4625,210.7875,475.1125,0.31499999999999995,0.06824999999999999,0.4362499999999999,0.12050000000000002,0.605,0.23500000000000004,0.7224999999999999,0.365125,0.7837499999999997,0.46437500000000015,0.8274999999999999,0.5449999999999998,0.8825,0.6487499999999999,0.9425000000000001,0.7730000000000004,0.7187499999999999,0.36050000000000015,1373.7625,4.975,110.6125,276.4625,100.0,3.0875,36.05,100.0,1373.7625,1373.7625
