dataset,graph_M,method,scorer_type,sketch_bits,visited_budget,ef_search,num_queries,avg_pool_min_reranked_for_recall10_p0.8,median_pool_min_reranked_for_recall10_p0.8,reachable_frac_pool_min_reranked_for_recall10_p0.8,avg_pool_min_reranked_for_recall100_p0.8,median_pool_min_reranked_for_recall100_p0.8,reachable_frac_pool_min_reranked_for_recall100_p0.8,avg_pool_min_reranked_for_recall10_p0.9,median_pool_min_reranked_for_recall10_p0.9,reachable_frac_pool_min_reranked_for_recall10_p0.9,avg_pool_min_reranked_for_recall100_p0.9,median_pool_min_reranked_for_recall100_p0.9,reachable_frac_pool_min_reranked_for_recall100_p0.9
scifact,16,qacos,qacos,64,-1,20,80,184.75641025641025,118.0,0.975,558.4925373134329,552.0,0.8375,194.0,140.0,0.8875,640.875,655.0,0.5
scifact,16,qacos,qacos,64,-1,50,80,184.75641025641025,118.0,0.975,558.4925373134329,552.0,0.8375,194.0,140.0,0.8875,640.875,655.0,0.5
scifact,16,qacos,qacos,128,-1,20,80,73.8974358974359,47.0,0.975,398.73333333333335,317.0,0.9375,119.75324675324676,73.0,0.9625,453.08620689655174,420.5,0.725
scifact,16,qacos,qacos,128,-1,50,80,73.8974358974359,47.0,0.975,398.73333333333335,317.0,0.9375,119.75324675324676,73.0,0.9625,453.08620689655174,420.5,0.725
scifact,16,simhash,simhash_baseline,64,-1,20,80,259.4246575342466,158.0,0.9125,680.9032258064516,614.5,0.775,346.3142857142857,241.5,0.875,795.7948717948718,798.0,0.4875
scifact,16,simhash,simhash_baseline,64,-1,50,80,259.4246575342466,158.0,0.9125,680.9032258064516,614.5,0.775,346.3142857142857,241.5,0.875,795.7948717948718,798.0,0.4875
scifact,16,simhash,simhash_baseline,128,-1,20,80,153.41772151898735,98.0,0.9875,473.3478260869565,385.0,0.8625,222.94805194805195,143.0,0.9625,602.5849056603773,571.0,0.6625
scifact,16,simhash,simhash_baseline,128,-1,50,80,153.41772151898735,98.0,0.9875,473.3478260869565,385.0,0.8625,222.94805194805195,143.0,0.9625,602.5849056603773,571.0,0.6625
scifact,32,qacos,qacos,64,-1,20,80,184.8181818181818,117.0,0.9625,602.6027397260274,561.0,0.9125,222.95945945945945,148.0,0.925,724.6470588235294,734.0,0.6375
scifact,32,qacos,qacos,64,-1,50,80,184.8181818181818,117.0,0.9625,602.6027397260274,561.0,0.9125,222.95945945945945,148.0,0.925,724.6470588235294,734.0,0.6375
scifact,32,qacos,qacos,128,-1,20,80,82.36708860759494,49.0,0.9875,395.2105263157895,324.5,0.95,126.48717948717949,73.5,0.975,516.4029850746268,451.0,0.8375
scifact,32,qacos,qacos,128,-1,50,80,82.36708860759494,49.0,0.9875,395.2105263157895,324.5,0.95,126.48717948717949,73.5,0.975,516.4029850746268,451.0,0.8375
scifact,32,simhash,simhash_baseline,64,-1,20,80,291.47945205479454,182.0,0.9125,739.2307692307693,674.0,0.8125,365.42028985507244,269.0,0.8625,908.2222222222222,942.0,0.5625
scifact,32,simhash,simhash_baseline,64,-1,50,80,291.47945205479454,182.0,0.9125,739.2307692307693,674.0,0.8125,365.42028985507244,269.0,0.8625,908.2222222222222,942.0,0.5625
scifact,32,simhash,simhash_baseline,128,-1,20,80,154.31645569620252,99.0,0.9875,504.9583333333333,398.5,0.9,216.19230769230768,141.0,0.975,644.2203389830509,608.0,0.7375
scifact,32,simhash,simhash_baseline,128,-1,50,80,154.31645569620252,99.0,0.9875,504.9583333333333,398.5,0.9,216.19230769230768,141.0,0.975,644.2203389830509,608.0,0.7375
